Employee ID,StartDate,education,Job Role,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,DepartmentType,Division,State,GenderCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating,Engagement Score,Satisfaction Score,Work-Life Balance Score,Training Program Name,Training Type,Training Outcome,Training Months,Training Cost,Age
3446,8/24/2021,Doctorate,Area Sales Manager,Active,Part-Time,Zone A,Part-Time,Sales,Field Operations,Texas,Female,White,Divorced,Exceeds,2,4,3,5,Technical Skills,Internal,Failed,5,$701 ,25
3450,9/1/2020,Doctorate,Area Sales Manager,Active,Contract,Zone C,Temporary,Sales,Field Operations,Colorado,Male,Other,Single,Exceeds,2,4,3,5,Technical Skills,Internal,Completed,4,$186 ,26
3451,2/18/2021,Doctorate,Area Sales Manager,Active,Contract,Zone C,Full-Time,Sales,General - Con,Colorado,Male,Other,Divorced,Exceeds,3,5,1,2,Technical Skills,External,Completed,1,$922 ,53
3452,11/8/2022,Post Graduate,Area Sales Manager,Active,Part-Time,Zone A,Part-Time,Sales,General - Con,Indiana,Male,Black,Divorced,Fully Meets,2,5,5,2,Customer Service,Internal,Failed,1,$691 ,75
3453,10/13/2022,Doctorate,Area Sales Manager,Active,Contract,Zone C,Part-Time,Sales,Fielders,Massachusetts,Male,White,Widowed,Fully Meets,4,5,5,3,Customer Service,External,Completed,5,$964 ,40
3454,9/11/2022,Bachelors,Area Sales Manager,Active,Full-Time,Zone C,Full-Time,IT/IS,General - Con,Kentucky,Male,Hispanic,Married,Needs Improvement,4,4,4,2,Communication Skills,Internal,Passed,3,$185 ,52
3455,6/29/2021,Masters,Area Sales Manager,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Eng,Kentucky,Male,Other,Widowed,Exceeds,4,2,1,1,Project Management,External,Passed,1,$220 ,22
3456,3/6/2023,Diplomas,Area Sales Manager,Active,Full-Time,Zone A,Temporary,Sales,Field Operations,Kentucky,Female,Black,Divorced,Fully Meets,3,4,3,4,Technical Skills,External,Passed,2,$337 ,77
3457,9/25/2020,Doctorate,Area Sales Manager,Active,Full-Time,Zone B,Temporary,Sales,Engineers,Kentucky,Female,White,Divorced,Needs Improvement,3,5,1,4,Customer Service,External,Completed,4,$486 ,73
3460,2/19/2020,Masters,Area Sales Manager,Active,Full-Time,Zone A,Full-Time,Sales,Aerial,Texas,Male,Asian,Married,Fully Meets,3,4,3,3,Communication Skills,External,Incomplete,5,$920 ,76
3462,9/13/2018,Post Graduate,Area Sales Manager,Active,Contract,Zone A,Full-Time,Sales,Field Operations,Colorado,Male,Hispanic,Divorced,Needs Improvement,3,3,3,1,Project Management,External,Completed,1,$320 ,76
3463,4/30/2020,Diplomas,Area Sales Manager,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,Indiana,Male,Hispanic,Single,Fully Meets,1,4,3,4,Technical Skills,Internal,Incomplete,4,$926 ,69
3464,12/3/2018,Masters,Area Sales Manager,Active,Contract,Zone B,Full-Time,Sales,Shop (Fleet),Massachusetts,Male,Black,Widowed,Needs Improvement,5,2,5,3,Customer Service,External,Passed,2,$290 ,20
3465,11/8/2021,Masters,Area Sales Manager,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,Massachusetts,Male,Asian,Divorced,Needs Improvement,3,5,4,3,Communication Skills,External,Incomplete,1,$706 ,59
3466,4/13/2022,Masters,Area Sales Manager,Active,Part-Time,Zone C,Full-Time,IT/IS,Aerial,Kentucky,Male,Other,Married,Exceeds,4,1,3,4,Customer Service,External,Passed,3,$448 ,43
3467,5/6/2020,Diplomas,Area Sales Manager,Active,Contract,Zone A,Part-Time,Sales,Fielders,Kentucky,Female,Asian,Divorced,Exceeds,1,4,3,2,Technical Skills,Internal,Incomplete,1,$760 ,33
3468,9/9/2019,Post Graduate,Area Sales Manager,Active,Contract,Zone B,Temporary,Sales,Wireline Construction,Kentucky,Female,Black,Single,Fully Meets,4,3,1,3,Customer Service,Internal,Completed,3,$181 ,21
3471,2/29/2020,Diplomas,Area Sales Manager,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,Texas,Male,Asian,Married,Fully Meets,4,2,4,1,Customer Service,External,Passed,3,$110 ,53
3472,1/15/2023,Diplomas,Area Sales Manager,Active,Contract,Zone C,Full-Time,Sales,Project Management - Con,Texas,Male,Other,Married,Exceeds,4,5,5,4,Technical Skills,External,Completed,5,$537 ,41
3473,6/29/2023,Doctorate,Area Sales Manager,Active,Part-Time,Zone A,Temporary,Sales,Shop (Fleet),Colorado,Male,Hispanic,Widowed,Exceeds,2,3,4,4,Communication Skills,External,Failed,5,$790 ,73
3474,3/9/2020,Doctorate,Area Sales Manager,Active,Full-Time,Zone A,Temporary,Sales,Catv,Colorado,Male,Other,Divorced,Fully Meets,2,3,1,2,Customer Service,External,Incomplete,5,$156 ,55
3475,9/21/2021,Diplomas,Area Sales Manager,Active,Full-Time,Zone C,Temporary,Sales,General - Con,Indiana,Male,Asian,Widowed,Fully Meets,2,4,3,4,Customer Service,Internal,Passed,2,$649 ,64
3476,6/12/2023,Bachelors,Area Sales Manager,Active,Part-Time,Zone A,Temporary,Sales,Fielders,Massachusetts,Male,Asian,Divorced,Needs Improvement,2,5,5,3,Leadership Development,Internal,Incomplete,4,$534 ,78
3477,4/7/2019,Post Graduate,Area Sales Manager,Active,Part-Time,Zone A,Full-Time,IT/IS,Aerial,Kentucky,Female,Asian,Widowed,Needs Improvement,2,1,2,1,Leadership Development,External,Failed,5,$429 ,50
3478,9/17/2018,Masters,Area Sales Manager,Active,Full-Time,Zone C,Temporary,Sales,Wireline Construction,Kentucky,Female,Hispanic,Married,Fully Meets,2,3,4,1,Technical Skills,External,Incomplete,1,$527 ,61
3479,8/2/2022,Post Graduate,Area Sales Manager,Active,Contract,Zone A,Part-Time,Sales,Project Management - Con,Texas,Female,Hispanic,Widowed,Fully Meets,2,4,4,4,Communication Skills,Internal,Passed,3,$443 ,60
3483,9/26/2021,Doctorate,Area Sales Manager,Active,Part-Time,Zone B,Temporary,Sales,Project Management - Con,Colorado,Male,Asian,Widowed,Fully Meets,1,1,4,5,Project Management,External,Passed,4,$112 ,57
3484,8/29/2018,Masters,Area Sales Manager,Active,Part-Time,Zone B,Full-Time,Sales,General - Con,Colorado,Male,Other,Single,Fully Meets,4,1,2,4,Project Management,External,Passed,1,$796 ,23
3485,10/26/2021,Bachelors,Area Sales Manager,Active,Contract,Zone C,Full-Time,Sales,Field Operations,Colorado,Male,White,Widowed,Fully Meets,5,2,1,3,Customer Service,Internal,Passed,2,$796 ,27
3486,10/31/2022,Doctorate,Area Sales Manager,Active,Part-Time,Zone C,Temporary,Sales,Fielders,Indiana,Male,Other,Widowed,Fully Meets,4,3,1,1,Project Management,Internal,Completed,5,$813 ,32
3487,3/15/2023,Bachelors,Area Sales Manager,Active,Contract,Zone B,Part-Time,Sales,General - Sga,Kentucky,Female,Other,Divorced,Fully Meets,4,5,4,1,Project Management,External,Completed,5,$133 ,29
3488,9/9/2022,Diplomas,Area Sales Manager,Active,Contract,Zone B,Full-Time,Sales,Wireline Construction,Kentucky,Female,Asian,Single,Fully Meets,2,1,5,1,Communication Skills,Internal,Completed,1,$308 ,25
3489,3/4/2022,Post Graduate,Area Sales Manager,Active,Part-Time,Zone A,Temporary,Sales,Field Operations,Texas,Female,Black,Divorced,Fully Meets,2,2,4,5,Project Management,Internal,Passed,1,$131 ,69
3490,2/11/2019,Masters,Area Sales Manager,Active,Part-Time,Zone A,Part-Time,Sales,General - Sga,Texas,Female,Hispanic,Divorced,Fully Meets,2,5,3,2,Technical Skills,Internal,Failed,3,$390 ,28
3491,1/26/2021,Doctorate,Area Sales Manager,Active,Contract,Zone B,Full-Time,Sales,Field Operations,Texas,Male,White,Widowed,Fully Meets,5,3,4,5,Project Management,Internal,Incomplete,3,$443 ,48
3492,11/26/2019,Bachelors,Area Sales Manager,Active,Full-Time,Zone C,Full-Time,Sales,General - Con,Colorado,Male,Asian,Married,Fully Meets,1,1,5,5,Project Management,Internal,Incomplete,3,$328 ,26
3493,7/15/2019,Diplomas,Area Sales Manager,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,Colorado,Male,Asian,Widowed,Fully Meets,5,3,1,5,Project Management,Internal,Completed,3,$401 ,35
3494,6/18/2020,Diplomas,Area Sales Manager,Active,Contract,Zone B,Full-Time,Sales,General - Con,Colorado,Male,Black,Single,Fully Meets,4,1,2,1,Technical Skills,Internal,Completed,2,$910 ,26
3495,6/22/2023,Bachelors,Area Sales Manager,Active,Part-Time,Zone B,Temporary,Sales,Wireline Construction,Indiana,Male,Other,Married,Fully Meets,4,4,3,5,Customer Service,External,Passed,1,$702 ,30
3496,12/2/2021,Masters,Area Sales Manager,Active,Contract,Zone A,Part-Time,Sales,General - Sga,California,Male,Other,Widowed,Fully Meets,5,1,3,2,Project Management,Internal,Incomplete,1,$807 ,57
3497,12/8/2021,Bachelors,Area Sales Manager,Active,Part-Time,Zone C,Temporary,Sales,Project Management - Con,Oregon,Female,Hispanic,Widowed,Fully Meets,1,2,3,4,Communication Skills,Internal,Completed,2,$184 ,40
3498,4/26/2023,Masters,Area Sales Manager,Active,Full-Time,Zone A,Full-Time,Sales,General - Sga,Kentucky,Female,White,Widowed,Fully Meets,2,3,3,4,Project Management,External,Failed,1,$208 ,25
3499,9/25/2018,Masters,Area Sales Manager,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,Kentucky,Female,Asian,Widowed,Fully Meets,5,5,3,5,Technical Skills,Internal,Incomplete,2,$762 ,47
3500,11/20/2018,Bachelors,Area Sales Manager,Active,Full-Time,Zone B,Part-Time,Sales,Shop (Fleet),Texas,Female,White,Divorced,Fully Meets,1,4,1,4,Leadership Development,External,Incomplete,4,$780 ,18
3502,10/1/2019,Post Graduate,Area Sales Manager,Active,Full-Time,Zone C,Temporary,Sales,Splicing,Texas,Male,White,Married,Fully Meets,1,5,3,5,Customer Service,External,Incomplete,3,$427 ,43
3503,1/20/2022,Post Graduate,Area Sales Manager,Active,Part-Time,Zone A,Temporary,Sales,Project Management - Con,Colorado,Male,Other,Single,Fully Meets,4,5,2,3,Technical Skills,Internal,Completed,4,$996 ,71
3504,10/10/2021,Post Graduate,Area Sales Manager,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,Colorado,Male,Hispanic,Married,Fully Meets,2,3,4,3,Communication Skills,Internal,Completed,5,$963 ,41
3505,8/29/2020,Diplomas,Area Sales Manager,Active,Contract,Zone B,Temporary,Sales,Field Operations,Indiana,Male,Hispanic,Widowed,Fully Meets,1,4,3,2,Leadership Development,Internal,Failed,5,$261 ,77
3506,8/27/2019,Bachelors,Area Sales Manager,Active,Full-Time,Zone B,Temporary,Sales,Field Operations,Indiana,Male,Other,Married,Fully Meets,2,2,2,3,Leadership Development,Internal,Completed,1,$782 ,31
3507,2/25/2021,Diplomas,Area Sales Manager,Active,Full-Time,Zone A,Full-Time,Sales,Project Management - Con,California,Male,White,Single,Fully Meets,4,2,5,2,Project Management,Internal,Passed,4,$652 ,48
3508,7/13/2021,Masters,Area Sales Manager,Active,Full-Time,Zone B,Part-Time,Sales,Aerial,Oregon,Male,Asian,Single,Fully Meets,5,1,5,4,Communication Skills,External,Completed,1,$568 ,79
3509,4/14/2021,Post Graduate,Area Sales Manager,Active,Part-Time,Zone C,Full-Time,Sales,General - Sga,Kentucky,Female,Black,Married,Fully Meets,2,4,5,2,Leadership Development,External,Completed,4,$612 ,44
3510,2/10/2020,Doctorate,Area Sales Manager,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,Kentucky,Female,Hispanic,Married,Fully Meets,2,2,4,3,Technical Skills,External,Completed,4,$473 ,64
3511,8/17/2021,Bachelors,Area Sales Manager,Active,Part-Time,Zone B,Full-Time,Sales,Finance & Accounting,Kentucky,Female,Asian,Divorced,Fully Meets,4,5,4,5,Technical Skills,Internal,Completed,3,$344 ,24
3514,4/15/2020,Bachelors,Area Sales Manager,Active,Full-Time,Zone B,Part-Time,Sales,Wireline Construction,Texas,Male,Asian,Married,Fully Meets,1,2,1,1,Leadership Development,Internal,Incomplete,3,$975 ,62
3516,4/7/2022,Bachelors,Area Sales Manager,Active,Contract,Zone B,Part-Time,Sales,Project Management - Con,Colorado,Male,Asian,Divorced,Fully Meets,5,2,3,5,Technical Skills,Internal,Incomplete,1,$570 ,34
3517,2/19/2020,Masters,Area Sales Manager,Active,Part-Time,Zone A,Part-Time,Sales,Splicing,Indiana,Male,Hispanic,Widowed,Fully Meets,4,4,1,1,Technical Skills,Internal,Failed,3,$391 ,78
3518,4/10/2021,Masters,Area Sales Manager,Active,Contract,Zone B,Part-Time,Sales,General - Eng,California,Female,Hispanic,Married,Fully Meets,2,4,2,5,Customer Service,Internal,Completed,3,$827 ,52
3519,12/19/2021,Masters,Area Sales Manager,Active,Part-Time,Zone C,Temporary,Sales,Aerial,California,Male,Hispanic,Widowed,Fully Meets,2,1,3,4,Leadership Development,External,Incomplete,4,$931 ,70
3520,12/13/2020,Post Graduate,Area Sales Manager,Active,Full-Time,Zone C,Temporary,Sales,Project Management - Con,North Dakota,Female,Black,Divorced,Fully Meets,1,5,1,1,Customer Service,External,Incomplete,1,$608 ,57
3521,2/26/2019,Diplomas,Area Sales Manager,Active,Contract,Zone C,Part-Time,Sales,General - Con,Kentucky,Female,Asian,Divorced,Fully Meets,4,1,3,3,Communication Skills,Internal,Incomplete,5,$724 ,70
3522,3/2/2020,Diplomas,Area Sales Manager,Active,Full-Time,Zone C,Part-Time,Sales,Splicing,Kentucky,Female,Other,Single,Fully Meets,1,1,5,4,Communication Skills,External,Completed,5,$394 ,37
3523,6/25/2021,Post Graduate,Area Sales Manager,Active,Full-Time,Zone A,Temporary,Sales,General - Con,Kentucky,Female,Other,Single,Fully Meets,2,3,2,3,Leadership Development,External,Incomplete,2,$451 ,43
3526,9/15/2022,Masters,Area Sales Manager,Active,Full-Time,Zone B,Full-Time,Sales,General - Con,Texas,Male,White,Widowed,Fully Meets,4,1,5,3,Customer Service,Internal,Passed,2,$361 ,74
3527,5/1/2020,Diplomas,Area Sales Manager,Active,Full-Time,Zone B,Temporary,Sales,Aerial,Colorado,Male,Black,Married,Fully Meets,1,1,3,2,Project Management,Internal,Failed,4,$396 ,46
3528,10/13/2022,Doctorate,Area Sales Manager,Active,Full-Time,Zone C,Part-Time,Sales,Finance & Accounting,Colorado,Male,Hispanic,Widowed,Fully Meets,2,5,2,2,Technical Skills,External,Passed,1,$466 ,31
3529,1/3/2020,Doctorate,Area Sales Manager,Active,Part-Time,Zone C,Full-Time,Sales,Field Operations,Indiana,Male,Hispanic,Single,Fully Meets,2,2,3,4,Project Management,Internal,Incomplete,1,$516 ,26
3530,11/13/2019,Post Graduate,Area Sales Manager,Active,Full-Time,Zone B,Part-Time,Sales,Field Operations,California,Female,Black,Widowed,Fully Meets,2,1,2,5,Customer Service,External,Passed,2,$497 ,26
3531,6/17/2023,Post Graduate,Area Sales Manager,Active,Full-Time,Zone C,Full-Time,Sales,Project Management - Con,California,Male,Black,Divorced,Fully Meets,1,2,4,4,Leadership Development,External,Completed,3,$629 ,80
3532,10/14/2021,Diplomas,Area Sales Manager,Active,Part-Time,Zone B,Full-Time,IT/IS,Wireless,Oregon,Female,Black,Widowed,Fully Meets,1,2,2,5,Technical Skills,Internal,Failed,2,$772 ,55
3533,6/1/2021,Diplomas,Area Sales Manager,Active,Contract,Zone B,Full-Time,Sales,General - Sga,North Dakota,Male,White,Married,Fully Meets,2,2,5,2,Leadership Development,Internal,Completed,4,$418 ,55
3534,9/14/2018,Doctorate,Area Sales Manager,Active,Full-Time,Zone A,Full-Time,Sales,Engineers,Kentucky,Female,Asian,Single,Fully Meets,4,4,3,2,Customer Service,Internal,Completed,3,$901 ,59
3535,12/11/2018,Post Graduate,Area Sales Manager,Active,Full-Time,Zone A,Temporary,Sales,Fielders,Kentucky,Female,Black,Single,Fully Meets,4,1,5,1,Technical Skills,External,Incomplete,1,$937 ,24
3536,8/6/2022,Post Graduate,Area Sales Manager,Active,Contract,Zone C,Temporary,Sales,General - Sga,Georgia,Female,Black,Single,Fully Meets,2,1,2,4,Leadership Development,External,Passed,5,$269 ,33
3539,12/8/2019,Diplomas,Area Sales Manager,Active,Full-Time,Zone C,Temporary,Sales,General - Con,Colorado,Male,Hispanic,Single,Fully Meets,5,3,3,4,Project Management,External,Failed,4,$235 ,36
3540,3/12/2020,Doctorate,Area Sales Manager,Active,Full-Time,Zone B,Part-Time,Sales,Splicing,Colorado,Male,White,Widowed,Exceeds,4,2,2,3,Communication Skills,External,Incomplete,2,$903 ,37
3541,4/6/2020,Bachelors,Area Sales Manager,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,Indiana,Male,Black,Married,Exceeds,2,1,3,3,Customer Service,External,Passed,4,$380 ,29
3542,4/15/2023,Diplomas,Area Sales Manager,Active,Contract,Zone A,Temporary,Sales,Field Operations,Indiana,Male,White,Married,Needs Improvement,1,2,3,4,Project Management,Internal,Failed,4,$511 ,75
3543,11/10/2020,Diplomas,Area Sales Manager,Active,Part-Time,Zone A,Temporary,Sales,General - Con,California,Female,Black,Single,Fully Meets,2,4,5,5,Communication Skills,External,Passed,4,$171 ,39
3544,6/29/2023,Post Graduate,Area Sales Manager,Active,Contract,Zone A,Temporary,Sales,Aerial,California,Male,Asian,Single,Fully Meets,2,3,5,3,Leadership Development,External,Passed,3,$843 ,23
3545,3/7/2022,Doctorate,Area Sales Manager,Active,Full-Time,Zone C,Temporary,IT/IS,Field Operations,Oregon,Female,Black,Widowed,Fully Meets,1,2,5,2,Customer Service,External,Incomplete,5,$581 ,79
3546,7/31/2021,Bachelors,Area Sales Manager,Active,Full-Time,Zone B,Part-Time,Sales,General - Con,North Dakota,Male,Hispanic,Widowed,Exceeds,1,2,5,5,Project Management,External,Passed,4,$426 ,41
3547,1/20/2022,Bachelors,Area Sales Manager,Active,Contract,Zone B,Full-Time,Sales,Project Management - Eng,Kentucky,Female,Other,Married,Needs Improvement,2,2,4,2,Technical Skills,External,Failed,4,$805 ,75
3548,7/11/2021,Doctorate,Area Sales Manager,Active,Part-Time,Zone A,Full-Time,Sales,General - Con,Kentucky,Female,White,Single,Fully Meets,1,5,5,3,Leadership Development,External,Passed,3,$369 ,57
3549,10/15/2018,Masters,Area Sales Manager,Active,Full-Time,Zone C,Full-Time,Sales,Field Operations,Georgia,Female,Black,Divorced,Fully Meets,2,1,4,1,Communication Skills,External,Failed,5,$789 ,63
3551,8/11/2018,Diplomas,Area Sales Manager,Active,Part-Time,Zone C,Part-Time,Sales,Engineers,Texas,Male,Black,Married,Needs Improvement,4,4,4,3,Communication Skills,External,Incomplete,1,$570 ,64
3552,2/16/2020,Bachelors,Area Sales Manager,Active,Full-Time,Zone B,Full-Time,Sales,Field Operations,Colorado,Male,White,Single,Needs Improvement,1,3,4,2,Leadership Development,External,Failed,4,$481 ,78
3553,1/20/2020,Doctorate,Area Sales Manager,Active,Contract,Zone C,Temporary,Sales,Field Operations,Colorado,Male,Black,Divorced,Fully Meets,4,4,2,4,Project Management,Internal,Incomplete,5,$689 ,71
3554,3/31/2019,Masters,Area Sales Manager,Active,Part-Time,Zone C,Temporary,Sales,People Services,Indiana,Male,Asian,Widowed,Fully Meets,1,2,1,2,Project Management,Internal,Completed,4,$283 ,61
3555,1/6/2023,Diplomas,Area Sales Manager,Active,Full-Time,Zone C,Temporary,Sales,General - Eng,Indiana,Female,Hispanic,Widowed,Fully Meets,4,2,5,1,Leadership Development,External,Passed,4,$566 ,35
3556,7/18/2019,Post Graduate,Area Sales Manager,Active,Full-Time,Zone B,Temporary,Sales,Wireline Construction,California,Male,White,Single,Exceeds,2,2,2,3,Customer Service,Internal,Incomplete,1,$514 ,58
3557,2/13/2019,Post Graduate,Area Sales Manager,Active,Part-Time,Zone C,Temporary,Sales,Field Operations,Massachusetts,Male,Other,Single,Fully Meets,2,4,5,2,Project Management,External,Failed,1,$210 ,59
3558,12/30/2018,Doctorate,Production Technician I,Active,Part-Time,Zone A,Part-Time,Production       ,Yard (Material Handling),Massachusetts,Female,Black,Single,Fully Meets,1,2,5,3,Technical Skills,Internal,Completed,1,$942 ,59
3559,11/6/2019,Doctorate,Production Technician I,Active,Part-Time,Zone C,Full-Time,Production       ,Field Operations,Massachusetts,Male,White,Single,Fully Meets,2,3,2,1,Project Management,External,Failed,2,$960 ,28
3560,6/1/2022,Doctorate,Production Technician I,Active,Contract,Zone C,Full-Time,Production       ,Field Operations,Massachusetts,Female,Asian,Divorced,Exceeds,4,2,4,5,Technical Skills,External,Passed,1,$739 ,68
3561,3/28/2023,Diplomas,Production Technician II,Active,Part-Time,Zone C,Temporary,Production       ,General - Con,Massachusetts,Female,White,Married,Fully Meets,5,2,1,5,Technical Skills,External,Failed,5,$445 ,64
3563,1/1/2019,Masters,Production Technician I,Active,Contract,Zone B,Full-Time,Production       ,Field Operations,Massachusetts,Male,Black,Widowed,PIP,4,4,1,3,Leadership Development,External,Passed,4,$887 ,73
3564,1/26/2019,Masters,Production Technician II,Terminated,Full-Time,Zone C,Temporary,Production       ,Aerial,Massachusetts,Female,White,Divorced,Fully Meets,1,4,4,3,Technical Skills,External,Incomplete,4,$106 ,25
3565,9/11/2021,Post Graduate,Production Technician I,Active,Part-Time,Zone B,Full-Time,Production       ,General - Con,Massachusetts,Male,Other,Divorced,Fully Meets,4,5,5,5,Project Management,External,Passed,4,$684 ,53
3566,9/26/2021,Bachelors,Production Technician II,Active,Part-Time,Zone A,Part-Time,Production       ,Aerial,Massachusetts,Male,Black,Single,Fully Meets,2,1,2,3,Communication Skills,Internal,Failed,2,$579 ,58
3567,3/4/2023,Masters,Production Technician I,Active,Full-Time,Zone C,Full-Time,Production       ,General - Sga,Massachusetts,Male,Asian,Widowed,Fully Meets,4,2,3,2,Customer Service,Internal,Completed,5,$765 ,57
3568,7/11/2023,Diplomas,Production Technician I,Terminated,Full-Time,Zone B,Part-Time,Production       ,Field Operations,Massachusetts,Male,Asian,Divorced,Fully Meets,2,2,4,1,Project Management,Internal,Incomplete,2,$202 ,49
3569,2/9/2019,Diplomas,Production Technician I,Active,Part-Time,Zone B,Temporary,Production       ,Catv,Massachusetts,Female,Hispanic,Divorced,Fully Meets,2,1,3,5,Technical Skills,External,Incomplete,4,$730 ,24
3570,4/19/2019,Bachelors,Production Technician II,Terminated,Full-Time,Zone B,Temporary,Production       ,Fielders,Massachusetts,Female,Asian,Married,Fully Meets,1,2,5,3,Project Management,External,Failed,2,$797 ,45
3571,7/7/2022,Bachelors,Production Technician I,Terminated,Part-Time,Zone C,Full-Time,Production       ,Field Operations,Massachusetts,Female,White,Widowed,Fully Meets,4,4,1,5,Project Management,External,Completed,3,$834 ,75
3572,3/12/2019,Post Graduate,Production Technician I,Active,Contract,Zone A,Part-Time,Production       ,Fielders,Massachusetts,Male,White,Single,Fully Meets,5,5,5,5,Leadership Development,Internal,Failed,5,$569 ,25
3573,3/9/2020,Masters,Production Technician I,Active,Contract,Zone B,Full-Time,Production       ,Field Operations,Massachusetts,Female,Asian,Divorced,Exceeds,4,4,1,1,Customer Service,Internal,Completed,4,$386 ,37
3575,4/28/2021,Masters,Production Technician I,Terminated,Part-Time,Zone A,Temporary,Production       ,Field Operations,Massachusetts,Male,Hispanic,Single,Exceeds,5,5,1,5,Technical Skills,Internal,Incomplete,3,$583 ,34
